Code,Klassifikator,Klassifikator_ru,Klassifikator_en,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1714224,To‘raqo‘rg‘on tumani,Туракурганский район,Turakurgan district,26.8,38.0,41.3,62.7,64.5,80.8,97.8,134.5,189.3,229.0,243.7,295.9,386.1,364.3
1714229,Uychi tumani,Уйчинский район,Uychi district,31.1,43.6,56.1,77.8,80.4,88.3,125.8,139.0,221.1,364.7,485.9,640.8,801.4,857.2
1714234,Uchqo‘rg‘on tumani,Учкурганский район,Uchkurgan district,16.5,24.7,27.9,39.2,49.5,60.4,69.1,113.6,176.7,205.0,274.3,278.5,448.2,414.2
1714236,Chortoq tumani,Чартакский район,Chartak district,26.5,43.0,48.5,62.5,83.1,75.3,74.9,78.6,138.3,220.6,311.5,431.4,486.2,537.9
1714237,Chust tumani,Чустский район,Chust district,26.1,32.8,37.2,50.6,70.6,77.0,86.5,103.2,137.3,215.6,249.8,315.8,379.5,416.7
1714242,Yangiqo‘rg‘on tumani,Янгикурганский район,Yangikurgan district,22.7,32.1,35.4,45.8,54.7,58.6,133.9,98.8,113.1,178.4,218.8,288.5,317.5,364.3
1718,Samarqand viloyati,Самаркандская область,Samarkand region,519.7,745.0,926.2,1214.5,1562.8,2010.6,2194.9,2342.4,3299.0,4527.2,5755.3,7385.7,8895.4,10177.6
1718401,Samarqand shahri,Город Самарканд,Samarkand city,200.3,258.4,294.5,381.8,491.3,493.5,538.7,669.1,1074.5,1339.8,1948.8,2006.0,2286.3,3547.3
1718406,Kattaqo'rg'on shahar,Город  Каттакурган,Kattaqo'rg'on city,8.6,13.3,17.4,26.5,34.1,75.3,82.2,52.7,58.8,107.1,99.9,281.7,215.4,241.2
1718203,Oqdaryo tumani,Акдарьинский район,Akdarya district,28.2,36.3,46.2,55.8,71.8,131.1,143.1,182.4,247.2,235.2,417.9,437.4,626.8,512.0
1718206,Bulung‘ur tumani,Булунгурский район,Bulungur district,14.3,23.3,29.1,37.7,48.5,79.2,86.4,72.8,96.7,108.3,151.9,329.9,264.0,243.2
1718209,Jomboy tumani,Джамбайский район,Jomboy district,20.3,35.0,41.8,54.1,69.6,102.3,111.6,117.4,167.9,161.0,255.4,276.4,317.3,331.4
1718212,Ishtixon tumani,Иштыханский район,Ishtykhan district,17.3,27.9,36.3,48.7,62.7,100.9,110.2,122.6,171.2,296.4,254.1,248.9,350.0,216.2
1718215,Kattaqo‘rg‘on tumani,Каттакурганский район,Kattakurgan district,21.8,36.6,45.0,69.8,89.8,89.2,97.3,106.6,126.1,112.1,171.4,208.5,427.5,683.1
1718216,Qo‘shrabot tumani,Кошрабадский район,Koshrabad district,14.4,18.5,28.4,41.0,52.8,74.9,81.8,96.9,102.9,132.0,138.4,215.2,175.6,192.3
1718218,Narpay tumani,Нарпайский район,Narpai district,25.0,39.6,44.7,53.8,69.2,118.3,129.2,96.2,130.5,169.0,170.9,192.0,170.4,134.9
1718224,Payariq tumani,Пайарыкский район,Payaryk district,22.1,38.2,55.1,81.1,104.4,120.0,131.0,135.2,207.9,295.4,348.1,471.9,863.0,1344.4
1718227,Pastdarg‘om tumani,Пастдаргомский район,Pastdargom district,28.0,44.6,56.1,70.8,91.1,107.2,117.0,149.5,202.6,405.4,389.2,756.2,797.2,849.1
1718230,Paxtachi tumani,Пахтачийский район,Pakhtachi district,14.7,15.6,26.0,33.5,43.1,75.3,82.2,75.2,116.7,191.2,161.1,227.3,212.3,212.4
1718233,Samarqand tumani,Самаркандский район,Samarkand district,41.0,55.4,65.9,83.0,106.8,108.3,118.2,112.9,165.8,472.2,259.1,397.1,623.1,269.2
1718235,Nurobod tumani,Нурабадский район,Nurabad district,13.1,24.8,28.4,35.4,45.6,110.0,120.1,105.7,69.8,91.9,89.8,179.2,173.1,114.0
1718236,Urgut tumani,Ургутский район,Urgut district,30.7,47.4,61.3,79.5,102.3,127.8,139.5,136.8,196.6,198.0,287.2,418.4,276.7,257.4
1718238,Tayloq tumani,Тайлякский район,Tailak district,19.9,30.1,50.0,62.0,79.8,97.4,106.4,110.4,163.8,212.2,612.0,739.4,1116.7,1029.5
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,335.9,470.6,605.3,849.5,1051.5,1351.3,1554.8,1827.0,2879.7,3979.7,4774.7,5868.4,6521.9,7596.5
1722401,Termiz shahri,Город Термез,Termiz  city,66.6,88.7,124.1,172.1,196.6,292.4,367.3,457.8,762.2,973.3,1165.0,1620.8,1754.7,2520.8
1722201,Oltinsoy tumani,Алтынсайский район,Altynsay district,14.0,18.4,23.5,28.1,35.0,42.9,50.6,47.7,62.8,81.8,68.6,141.3,140.1,169.2
1722202,Angor tumani,Ангорский район,Angor district,12.4,19.6,27.7,39.7,49.1,56.7,66.4,80.8,116.0,159.1,153.7,289.3,295.6,289.2
1722203,Bandixon tumani,Бандихонский район,Bandykhan district,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7,61.6,88.5,120.9,138.7
1722204,Boysun tumani,Байсунский район,Baysun district,24.9,34.3,42.4,62.3,72.8,90.5,94.5,113.5,164.1,257.3,236.4,331.6,428.9,491.9
1722207,Muzrabot tumani,Музрабадский район,Muzrabad district,13.3,16.1,19.4,23.2,33.2,40.1,52.7,58.4,85.5,162.2,292.2,245.4,271.3,250.2
1722210,Denov tumani,Денауский район,Denau district,30.7,38.0,52.2,86.0,102.6,120.6,154.1,162.3,219.9,277.7,299.3,471.5,653.9,675.2
1722212,Jarqo‘rg‘on tumani,Джаркурганский район,Jarkurgan district,23.9,33.3,46.9,64.7,84.7,108.3,128.6,142.4,199.0,222.3,321.1,437.2,492.5,442.9
1722214,Qumqo‘rg‘on tumani,Кумкурганский район,Kumkurgan district,17.5,24.8,28.6,34.2,66.6,75.0,93.5,103.1,132.2,145.2,190.2,196.8,247.0,270.0
1722215,Qiziriq tumani,Кизирикский район,Kizirik district,11.0,29.1,33.3,40.5,49.3,64.9,68.3,75.8,101.6,107.3,114.8,183.7,240.9,196.8
1722217,Sariosiyo tumani,Сариасийский  район,Sariosia district,43.7,77.2,93.5,142.5,177.0,232.7,200.5,263.9,566.2,876.6,805.7,853.1,782.5,813.3
1722220,Termiz tumani,Термезский район,Termiz district,16.4,24.3,31.9,45.4,58.1,71.8,86.2,100.1,147.8,222.2,471.0,353.3,356.8,592.2
1722221,Uzun tumani,Узунский район,Uzun district,18.6,22.6,27.1,36.9,44.9,57.5,73.0,66.2,90.9,116.6,202.8,200.5,199.7,163.4
1722223,Sherobod tumani,Шерабадский район,Sherabad district,20.5,24.1,29.1,38.0,44.3,55.0,68.9,91.9,136.1,232.8,266.1,278.8,332.3,357.7
1722226,Sho‘rchi tumani,Шурчинский район,Shurchi district,12.0,20.1,25.6,35.9,37.3,43.0,50.2,63.1,95.4,116.6,126.2,176.6,204.8,225.2
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,134.9,168.0,230.3,313.0,376.5,478.9,540.7,552.4,1001.1,1926.2,2407.6,2708.8,3260.1,3676.7
1724401,Guliston shahri,Город Гулистан,Gulistan city,34.4,45.7,63.3,113.6,135.8,154.7,168.1,180.5,337.7,645.4,875.5,686.1,935.3,931.0
1724410,Shirin shahri,Город Ширин,Shirin city,3.9,4.5,8.6,11.5,12.1,17.6,29.1,23.7,49.6,121.3,89.1,153.3,217.4,192.0
1724413,Yangiyer shahri,Город Янгиер,Yangier city,7.9,11.9,19.9,25.6,31.4,31.1,41.2,44.3,89.3,136.9,144.0,173.0,188.2,268.2
1724206,Oqoltin tumani,Акалтынский район,Akaltyn  district,3.6,4.4,5.7,5.6,6.0,7.9,12.5,31.7,63.0,80.6,70.2,56.3,71.2,83.9
1724212,Boyovut tumani,Баяутский район,Bayaut district,13.1,15.9,21.3,26.8,21.7,24.3,31.5,39.6,84.3,95.8,113.5,136.6,94.7,99.7
1724216,Sayxunobod tumani,Сайхунабадский район,Saykhunabad district,7.8,12.9,18.5,15.9,24.6,32.5,38.2,21.1,41.6,115.0,60.9,80.4,74.9,79.6
1724220,Guliston tumani,Гулистанский район,Gulistan district,9.9,12.7,17.0,20.4,24.0,24.2,27.9,31.9,48.2,54.8,277.7,204.8,143.3,224.8
1724226,Sardoba tumani,Сардобский район,Sardoba district,6.0,6.5,9.8,10.7,11.9,19.5,15.6,14.1,25.9,43.4,51.2,61.1,122.5,335.0
1724228,Mirzaobod tumani,Мирзаабадский район,Mirzaabad district,11.1,16.2,23.5,26.2,24.4,34.2,44.3,49.2,80.2,165.7,327.0,453.3,804.3,576.4
1724231,Sirdaryo tumani,Сырдарьинский район,Syrdarya district,28.6,25.4,29.6,43.3,65.5,107.5,94.5,66.5,125.9,250.5,210.7,468.1,484.9,633.1999999999999
1724235,Xovos tumani,Хавасский район,Khovos district,8.8,11.9,13.0,13.4,19.1,25.4,37.9,50.0,55.4,216.7,187.7,235.7,123.4,252.9
1727,Toshkent viloyati,Ташкентская область,Tashkent region,509.9,684.2,907.1,1151.7,1330.9,1562.0,1646.3,1825.4,3006.7,5594.1,7102.6,9401.2,12237.4,14339.0
1727401,Nurafshon shahri,Город Нурафшон,Nurafshan city,0.0,0.0,0.0,0.0,0.0,0.0,25.3,32.0,69.4,356.6,332.8,503.2,632.9,638.6
1727404,Olmaliq shahri,Город Алмалык,Almalyk city,62.7,40.6,50.2,78.6,93.1,120.6,117.7,106.0,161.5,200.9,277.7,1406.3,1995.8,2167.0
1727407,Angren shahri,Город Ангрен,Angren city,60.5,59.7,59.6,76.4,80.7,73.0,54.9,76.8,127.0,276.4,215.4,378.9,348.6,457.2
1727413,Bekobod shahri,Город Бекабад,Bekabad city,17.6,17.6,47.5,64.7,61.2,67.1,88.9,115.7,171.5,198.8,132.3,265.4,474.2,491.1
1727419,Chirchiq shahri,Город Чиpчик,Chirchik city,29.2,29.2,46.4,56.0,73.2,71.2,72.4,77.9,142.7,402.4,321.1,471.2,460.3,1280.3
1727415,Ohangaron shahri,Город Ахангаран,Akhangaran city,0.0,0.0,0.0,0.0,0.0,0.0,31.6,33.0,71.2,116.1,43.0,89.6,195.5,125.0
